PERIOD_DS,REGION,TRAFFIC_SOURCE,LANDING_PAGE,USERSHIP,AOV,CONVERSION_RATE,BUY2SESSION_RATE,COMMISSION_RATE,ORDER_COUNT,LEAD_GEN_RATE,SESSION_COUNT,PI_COUNT
2023-01-01,US,DIRECT,homepage,app only,,,0.0,,,0.0,13.0,0.0
2023-01-01,US,DIRECT,homepage,no on lyst view,,0.0,0.0,,0.0,28.0,121.0,33.88
2023-01-01,US,DIRECT,homepage,web only,416.0,5.0,1.0,15.0,5878.0,23.0,473701.0,108951.23
2023-01-01,US,DIRECT,lead,app and web,305.0,4.0,0.0,15.0,3296.0,7.0,954636.0,66824.52
2023-01-01,US,DIRECT,lead,app only,186.0,1.0,0.0,15.0,5.0,0.0,217649.0,0.0
2023-01-01,US,DIRECT,lead,no on lyst view,289.0,2.0,1.0,16.0,1951.0,54.0,197096.0,106431.84
2023-01-01,US,DIRECT,lead,web only,375.0,2.0,2.0,16.0,845.0,89.0,35297.0,31414.33
2023-01-01,US,DIRECT,lead_return,app and web,457.0,4.0,1.0,12.0,52.0,30.0,3429.0,1028.7
2023-01-01,US,DIRECT,lead_return,app only,,0.0,0.0,,0.0,1.0,253.0,2.53
2023-01-01,US,DIRECT,lead_return,no on lyst view,174.0,2.0,0.0,15.0,5.0,17.0,1616.0,274.72
2023-01-01,US,DIRECT,lead_return,web only,346.0,5.0,2.0,15.0,372.0,36.0,18092.0,6513.12
2023-01-01,US,DIRECT,nan,app and web,282.0,5.0,1.0,15.0,783.0,13.0,106226.0,13809.38
2023-01-01,US,DIRECT,nan,app only,193.0,1.0,0.0,16.0,192.0,10.0,305003.0,30500.3
2023-01-01,US,DIRECT,nan,no on lyst view,525.0,1.0,1.0,7.0,1.0,93.0,105.0,97.65
2023-01-01,US,DIRECT,nan,web only,359.0,6.0,0.0,14.0,329.0,7.0,77632.0,5434.24
2023-01-01,US,DIRECT,onboarding,app and web,288.0,4.0,0.0,15.0,424.0,10.0,99119.0,9911.9
2023-01-01,US,DIRECT,onboarding,app only,182.0,1.0,0.0,15.0,188.0,3.0,611829.0,18354.87
2023-01-01,US,DIRECT,others,app and web,292.0,6.0,1.0,15.0,50590.0,14.0,5234144.0,732780.16
2023-01-01,US,DIRECT,others,app only,216.0,4.0,0.0,15.0,4844.0,4.0,2840752.0,113630.08
2023-01-01,US,DIRECT,others,no on lyst view,165.0,7.0,3.0,16.0,1.0,48.0,31.0,14.88
2023-01-01,US,DIRECT,others,web only,412.0,5.0,0.0,15.0,868.0,8.0,222917.0,17833.36
2023-01-01,US,DIRECT,pdp_in_stock,app and web,340.0,5.0,1.0,16.0,150.0,17.0,17037.0,2896.29
2023-01-01,US,DIRECT,pdp_in_stock,no on lyst view,,0.0,0.0,,0.0,49.0,43.0,21.07
2023-01-01,US,DIRECT,pdp_in_stock,web only,305.0,5.0,0.0,15.0,2299.0,4.0,1025062.0,41002.48
2023-01-01,US,DIRECT,pdp_out_of_stock,app and web,400.0,2.0,1.0,13.0,41.0,35.0,5080.0,1778.0
2023-01-01,US,DIRECT,pdp_out_of_stock,no on lyst view,,0.0,0.0,,0.0,78.0,88.0,68.64
2023-01-01,US,DIRECT,pdp_out_of_stock,web only,255.0,1.0,0.0,14.0,962.0,20.0,437700.0,87540.0
2023-01-01,US,ORGANIC,feed,app and web,370.0,5.0,1.0,15.0,6245.0,18.0,656327.0,118138.86
2023-01-01,US,ORGANIC,feed,app only,245.0,5.0,0.0,15.0,365.0,4.0,189889.0,7595.56
2023-01-01,US,ORGANIC,feed,no on lyst view,,0.0,0.0,,0.0,74.0,4016.0,2971.84
2023-01-01,US,ORGANIC,feed,web only,252.0,3.0,1.0,15.0,108873.0,28.0,12038378.0,3370745.84
2023-01-01,US,ORGANIC,homepage,app and web,344.0,6.0,2.0,15.0,472.0,36.0,20343.0,7323.48
2023-01-01,US,ORGANIC,homepage,no on lyst view,,0.0,0.0,,0.0,85.0,60.0,51.0
2023-01-01,US,ORGANIC,homepage,web only,365.0,4.0,1.0,15.0,2214.0,31.0,158632.0,49175.92
2023-01-01,US,ORGANIC,lead,app and web,310.0,2.0,1.0,15.0,2544.0,87.0,168109.0,146254.83
2023-01-01,US,ORGANIC,lead,app only,88.0,0.0,0.0,15.0,20.0,89.0,8571.0,7628.19
